jenis_MAKANAN,jenis_NONMAKANAN,jenis_TOTAL,daerah_PERDESAAN,daerah_PERDESAANPERKOTAAN,daerah_PERKOTAAN,upah,peng,ump,gk,Cluster
True,False,False,False,False,True,0.352317880794702,0.23767440692387878,0.6125709431683376,0.4580531905343074,8
True,False,False,False,False,True,0.34134933774834436,0.2384282423970521,0.6129458263616603,0.48523078266903796,8
True,False,False,False,False,True,0.34134933774834436,0.2384282423970521,0.6129458263616603,0.5249599044987031,8
True,False,False,True,False,False,0.352317880794702,0.17958906389468607,0.6125709431683376,0.43474927270036223,0
True,False,False,True,False,False,0.352317880794702,0.17958906389468607,0.6125709431683376,0.44423753035975544,0
True,False,False,True,False,False,0.34134933774834436,0.19475345834260907,0.6129458263616603,0.46773191698957395,0
True,False,False,True,False,False,0.34134933774834436,0.19475345834260907,0.6129458263616603,0.5017421222348661,0
True,False,False,False,True,False,0.352317880794702,0.19902065236777125,0.6125709431683376,0.438999031884719,5
True,False,False,False,True,False,0.352317880794702,0.19902065236777125,0.6125709431683376,0.4485540142815201,5
True,False,False,False,True,False,0.34134933774834436,0.20961478624231109,0.6129458263616603,0.4732567252469422,5
True,False,False,False,True,False,0.34134933774834436,0.20961478624231109,0.6129458263616603,0.5091631262116605,5
False,True,False,False,False,True,0.11179635761589402,0.1506466341948454,0.28070330080847794,0.08268529459578156,2
False,True,False,False,False,True,0.11179635761589402,0.1506466341948454,0.28070330080847794,0.08447958344353027,2
False,True,False,False,False,True,0.21117549668874175,0.16322347029075235,0.33802448887076997,0.08876331158511286,2
False,True,False,False,False,True,0.21117549668874175,0.16322347029075235,0.33802448887076997,0.09360631434387748,2
False,True,False,True,False,False,0.11179635761589402,0.03582101877182281,0.28070330080847794,0.0437677882084044,7
False,True,False,True,False,False,0.11179635761589402,0.03582101877182281,0.28070330080847794,0.04746069912966679,7
False,True,False,True,False,False,0.21117549668874175,0.041203855244860324,0.33802448887076997,0.04819588441819669,7
False,True,False,True,False,False,0.21117549668874175,0.041203855244860324,0.33802448887076997,0.051452051603698735,7
False,True,False,False,True,False,0.11179635761589402,0.06841812457141835,0.28070330080847794,0.05481497836905331,4
False,True,False,False,True,False,0.11179635761589402,0.06841812457141835,0.28070330080847794,0.05796923868287795,4
False,True,False,False,True,False,0.21117549668874175,0.07666647228409595,0.33802448887076997,0.06016630230916118,4
False,True,False,False,True,False,0.21117549668874175,0.07666647228409595,0.33802448887076997,0.0638810504172116,4
False,True,False,False,False,True,0.2600993377483443,0.17030722520015376,0.43810702088799836,0.0962013000405201,2
False,True,False,False,False,True,0.2600993377483443,0.17030722520015376,0.43810702088799836,0.10130028315552203,2
